Genome_ID	GGGPS_pro_ID	Plsc_pro_ID	Organism	Superdomain	Domain	Kingdom	Phylum
JAHWKR01	MBW3582077.1	MBW3584121.1,MBW3582779.1	Error	Error	Error	Error	Error
JALOTP01	MCU0798327.1	MCU0798866.1,MCU0798886.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PXUB01	PSG96908.1	PSG96328.1,PSG98411.1	Thermoplasmatales archaeon SW_10_69_26	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAXDQS01	MEA3190121.1	MEA3190271.1	Thermoplasmata archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
NJBF01	PWI49406.1	PWI46690.1,PWI46742.1	Candidatus Heimdallarchaeota archaeon B3_Heim	cellular organisms	Archaea	Promethearchaeati	Candidatus Heimdallarchaeota
DQKD01	DAC61589.1	DAC60348.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAGXNW01	MBY8988676.1	MBY8988334.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAGMEU01	MCK4237598.1	MCK4237872.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JBGVSQ01	MFB0563236.1	MFB0563433.1	Promethearchaeia archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAVZBR01	MEM3341407.1	MEM3342471.1,MEM3342114.1	Thermoplasmata archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
NZLQ01	MAK41035.1	MAK40343.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PAOZ01	MBA45178.1	MBA45315.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PSPO01	RZD33111.1	RZD33098.1	Paraphaeosphaeria sporulosa	cellular organisms	Eukaryota	Opisthokonta	Fungi
JAXFTC01	MDY5872801.1	MDY5872452.1	Candidatus Methanomethylophilaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PALS01	MAY12518.1	MAY12208.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAGXOB01	MBY9012296.1	MBY9012142.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
PAUH01	MBE39058.1	MBE39031.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAFQVT01	MBQ2762369.1	MBQ2762167.1	Candidatus Methanomethylophilaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAKMER01	MCH1511263.1	MCH1511598.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
RDOG01	NHI93617.1	NHI94660.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAWDKB01	MDV0443412.1	MDV0443461.1	Methanorbis rubei	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAQXEV01	MDG1536890.1	MDG1535845.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAQCBO01	MDA0926174.1	MDA0925577.1,MDA0925010.1	archaeon	cellular organisms	Archaea	unclassified Archaea	Unknown
JBJLJN01	MFL2493764.1	MFL2493209.1	Candidatus Thalassarchaeum sp.	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DATFGB01	HJQ93334.1	HJQ93338.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JBJLBL01	MFL2976394.1	MFL2977384.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
BOXG01	GIR27177.1	GIR27152.1,GIR27341.1,GIR27342.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAFVZR01	MBR7123961.1	MBR7124718.1	Candidatus Methanomethylophilaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAKURR01	MCH2420752.1	MCH2420767.1,MCH2421396.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JBAZZN01	MFA5862139.1	MFA5860713.1,MFA5862994.1,MFA5860243.1,MFA5862299.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAQUQK01	MDD5502287.1	MDD5502616.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JYIM01	KKK40484.1	KKK45562.1,KKK44379.1	Candidatus Lokiarchaeum sp. GC14_75	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
NYYN01	MAE36792.1	MAE36873.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAZANU01	MED5273549.1	MED5274267.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PBGP02	RAH14058.1	RAH15712.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAYYNQ01	MEC8151617.1	MEC8152366.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAYYCA01	MEC8735330.1	MEC8735414.1,MEC8736044.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DTVH01	HIC62562.1	HIC61997.1	Error	Error	Error	Error	Error
JAFZSU01	MBO4797683.1	MBO4798831.1	Candidatus Methanomethylophilaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DASRUN01	HZX19752.1	HZX19422.1	archaeon	cellular organisms	Archaea	unclassified Archaea	Unknown
PBDU01	MBI19068.1	MBI20168.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAGXOA01	MBY9005559.1	MBY9006031.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAGXOB01	MBY9013128.1	MBY9012142.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
WJJB01	MBD3186289.1	MBD3187667.1,MBD3188400.1,MBD3188517.1,MBD3187505.1	Candidatus Bathyarchaeota archaeon	cellular organisms	Archaea	Thermoproteati	Candidatus Bathyarchaeota
JAWOCD01	MFO8017514.1	MFO8018085.1	Promethearchaeia archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAWOCD01	AIE94825.1	MFO8018085.1	uncultured marine group II/III euryarchaeote AD1000_53_H05	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAOEVQ01	MDC1419496.1	MDC1419284.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
NZZZ01	MAS89358.1	MAS88715.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PBHB01	MBK70240.1	MBK70282.1,MBK69929.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAKURM01	MCH2428493.1	MCH2428660.1	Candidatus Thalassarchaeum sp.	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
SHMW01	TXT64303.1	TXT62330.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JABIFT01	MBT4156105.1	MBT4156224.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JARRLU01	MEJ2252088.1	MEJ2248274.1,MEJ2248273.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAZAEU01	MEC8939260.1	MEC8939025.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAAZNI01	NMC06174.1	NMC07647.1,NMC04820.1,NMC08519.1,NMC03629.1,NMC05002.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
DASWKC01	HEX9815764.1	HEX9817184.1,HEX9817185.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PAWD01	MBE43916.1	MBE44774.1	Nitrososphaerota archaeon	cellular organisms	Archaea	Thermoproteati	Nitrososphaerota
JAYZLP01	MEC7743961.1	MEC7744646.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAKUOF01	MCH2619661.1	MCH2619659.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAWCQZ01	MEM3086993.1	MEM3087494.1	Halobacteria archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAKMFF01	MCH1482168.1	MCH1481587.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAOJUK01	MDB3871222.1	MDB3871007.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAOMTB01	MDC0527012.1	MDC0526989.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PAYZ01	MBF92261.1	MBF92694.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
DATLCC01	HUR69317.1	HUR68850.1,HUR69914.1,HUR68358.1,HUR68464.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DTVH01	HIC61794.1	HIC61997.1	Marine Group III euryarchaeote	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAWVYL01	MDX1748499.1	MDX1747685.1	Halobacteriales archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PBWO01	MBS65398.1	MBS65547.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAYZWF01	MEC9332483.1	MEC9332417.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PSPN01	RZD37087.1	RZD34366.1,RZD35475.1,RZD37067.1,RZD37841.1,RZD35009.1,RZD33579.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JBKEHQ01	MFQ3321069.1	MFQ3322193.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAZAOQ01	MED5231895.1	MED5230817.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
QQSB01	RJU87995.1	RJU86466.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DALTYB01	HJJ92777.1	HJJ92477.1	Methanocorpusculum sp.	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
SDNX01	TFG20120.1	TFG16380.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JASJLN01	MEJ6562128.1	MEJ6563277.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PAUM01	MBE27830.1	MBE27845.1,MBE27677.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
DQJF01	DAC26675.1	DAC24773.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JANXHQ01	MCS5537034.1	MCS5537585.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
NJBI01	TKJ24647.1	TKJ27952.1	Promethearchaeota archaeon Loki_b31	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
SHMV01	TXT55473.1	TXT61303.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAGXNR01	MBY8985111.1	MBY8984798.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JALHVL01	MCJ7650357.1	MCJ7651089.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
DRQJ01	HHD15301.1	HHD16510.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JARRLV01	MEJ2296501.1	MEJ2296132.1,MEJ2296565.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
PBWC01	MBR95533.1	MBR95484.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
DQJV01	DAC46528.1	DAC48564.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
NZZW01	MAS62302.1	MAS63087.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
NZZW01	UCE12968.1	MAS63087.1	Candidatus Heimdallarchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Candidatus Heimdallarchaeota
PSPN01	RZD35613.1	RZD34366.1,RZD35475.1,RZD37067.1,RZD37841.1,RZD35009.1,RZD33579.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
RDOE01	NHJ23124.1	NHJ25176.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
PCCC01	MBV23352.1	MBV22587.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAYYTR01	MEE3242752.1	MEE3242915.1	Error	Error	Error	Error	Error
QQSC01	RJU90592.1	RJU88962.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JBJLBD01	MFL2969342.1	MFL2970009.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JBJLBX01	MFL2944962.1	MFL2945224.1,MFL2944947.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JABXJU01	NVM53559.1	NVM55688.1	Candidatus Helarchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Candidatus Helarchaeota
JAACCR01	NCG41946.1	NCG42551.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAKURN01	MCH2444030.1	MCH2444649.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JACQPP01	MBI4363008.1	MBI4363094.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAWCQZ01	MEM3086295.1	MEM3087494.1	Halobacteria archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PBUW01	MBR79599.1	MBR79788.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAKURP01	MCH2447486.1	MCH2447473.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DATMKA01	HWG92408.1	HWG90728.1,HWG91616.1,HWG89603.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAKUOE01	MCH2637319.1	MCH2638191.1	Candidatus Thalassarchaeum sp.	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAZANU01	MED5273932.1	MED5274267.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JASMLV01	MDP7003293.1	MDP7002621.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JABGRE01	MBT3357819.1	MBT3356857.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAYYBE01	MEC8789176.1	MEC8788684.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAFGGO01	MBN1801177.1	MBN1801436.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
WJIN01	MBD3215679.1	MBD3211417.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
SDMZ01	TFF86172.1	TFF85405.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
QQSE01	RJU93479.1	RJU92591.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAYNQA01	MEL0100356.1	MEL0101843.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAZANI01	MED5267699.1	MED5267875.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JBJLBC01	MFL2949983.1	MFL2950000.1	Candidatus Poseidoniaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAOMDQ01	MDC0213088.1	MDC0212468.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAYYNQ01	MEC8151981.1	MEC8152366.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAGXNO01	MBY8990449.1	MBY8992764.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAWANU01	MEM4656844.1	MEM4658507.1	Candidatus Methanosuratincola sp.	cellular organisms	Archaea	Thermoproteati	Candidatus Methanomethylicota
PBXE01	MBT04382.1	MBT04901.1,MBT04635.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
NZYK01	MAS18053.1	MAS17936.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PBEZ01	MBJ33072.1	MBJ32542.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
NZRY01	MAO99786.1	MAO99251.1,MAO99757.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PATZ01	MBD51657.1	MBD51136.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
DQKL01	DAC70737.1	DAC69917.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
WJIT01	MBD3197220.1	MBD3196627.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
SDNU01	TFG26014.1	TFG18172.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JAZANI01	MED5267819.1	MED5267875.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAZANU01	MED5273379.1	MED5274267.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAYZDV01	MEE2758688.1	MEE2758617.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAYEPK01	MEA3559458.1	MEA3558778.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
SDNY01	TFG22848.1	TFG24113.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
WJJF01	MBD3226757.1	MBD3230564.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
JACQPP01	MBI4361652.1	MBI4363094.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAKUOA01	MCH2639242.1	MCH2638956.1	Candidatus Thalassarchaeum sp.	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
SUST01	MBE6523108.1	MBE6521876.1	Thermoplasmata archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
NZUM01	MAQ05921.1	MAQ05747.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JBJLBN01	MFL2971622.1	MFL2971842.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JASLVH01	MDP6185291.1	MDP6185427.1,MDP6184933.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
RPOP01	RPJ54173.1	RPJ50092.1	Error	Error	Error	Error	Error
JAYZDV01	MEE2759113.1	MEE2758617.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PBUW01	MBR79201.1	MBR79788.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
DASCSS01	HJM12901.1	HJM13614.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAGCLQ01	MBO7205382.1	MBO7205539.1	Candidatus Methanomethylophilaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAGCLQ01	UCG04498.1	MBO7205539.1	Error	Error	Error	Error	Error
JAGLUR01	MCK4847804.1	MCK4848853.1	Candidatus Heimdallarchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Candidatus Heimdallarchaeota
JBJLCA01	MFL2939717.1	MFL2939702.1,MFL2939868.1	Candidatus Poseidoniales archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JASMLV01	MDP7002166.1	MDP7002621.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
CATISE01	CAI8364703.1	CAI8361087.1	Marine Group II euryarchaeote MED-G33	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JBKEHW01	MFQ3343637.1	MFQ3344437.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JARVGK01	MDG6225742.1	MDG6223976.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PBVF01	MBR84356.1	MBR84935.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JARRLT01	MEJ2277813.1	MEJ2279390.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
SUSW01	MBE6524036.1	MBE6523628.1	Thermoplasmata archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DASCSW01	HJM17612.1	HJM17797.1,HJM17546.1,HJM17671.1	Candidatus Poseidoniia archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
DATFYH01	HMF30803.1	HMF29844.1,HMF29845.1	Promethearchaeia archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
NHIP02	RPG73310.1	RPG73285.1	Euryarchaeota archaeon TMED192	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAYZFV01	MEE2650976.1	MEE2650581.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JBAZXE01	MFA5944530.1	MFA5943689.1,MFA5944381.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
WJLH01	MBD3255321.1	MBD3255407.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
MIYZ01	OIR21358.1	OIR21377.1,OIR22374.1	Marine Group III euryarchaeote CG-Epi2	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAYNNF01	MEK9909856.1	MEK9908825.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAZAEB01	MEC8949011.1	MEC8948687.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAGVYP01	MBS3127652.1	MBS3128644.1	Candidatus Woesearchaeota archaeon	cellular organisms	Archaea	Nanobdellati	Candidatus Woesearchaeota
JAWOCK01	MFO8051108.1	MFO8050241.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
WJIT01	MBD3195519.1	MBD3196627.1	Promethearchaeota archaeon	cellular organisms	Archaea	Promethearchaeati	Promethearchaeota
PAYN01	MBF71048.1	MBF71507.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAYZGA01	MEE2630218.1	MEE2629607.1	Thermoplasmatota archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
JAISHD01	MDR0981597.1	MDR0981582.1	Methanocalculaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JALAHR01	MCI0558435.1	MCI0558058.1	Nitrososphaera sp.	cellular organisms	Archaea	Thermoproteati	Nitrososphaerota
JAQATW01	MCZ9312701.1	MCZ9313048.1	Methanocorpusculum sp.	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PBGF01	MBJ35077.1	MBJ35375.1,MBJ35096.1,MBJ35063.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
JAQXEW01	MDG1532954.1	MDG1533237.1	Candidatus Thalassarchaeaceae archaeon	cellular organisms	Archaea	Methanobacteriati	Thermoplasmatota
PBQU01	MBP03680.1	MBP04425.1,MBP03755.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
PAMN02	RAH14821.1	RAH15621.1	Methanobacteriota archaeon	cellular organisms	Archaea	Methanobacteriati	Methanobacteriota
